Name,Sig. Str. By Position - Standing,Sig. Str. By Position - Clinch,Sig. Str. By Position - Ground,Win by Method - KO/TKO,Win by Method - DEC,Win by Method - SUB,Status,Place of Birth,Trains at,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Weight Class,gender
Farès Ziam,176 (71%),30 (12%),43 (17%),5 (36%),5 (36%),4 (29%),Active,"Vénissieux, France",Sanford MMA,Kickboxer,26,73.00,156.00,"Sep. 7, 2019",75.00,42.00,Lightweight Division,man
Lu Zhengyong,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Yunnan, China",,,26,,125.50,"Mar. 13, 2024",,,Flyweight Division,man
Daria Zhelezniakova,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,28,,,"Mar. 23, 2024",,,Women's Bantamweight Division,women
Daermisi Zhawupasi,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,China,,,23,,149.90,"Mar. 13, 2024",,,Bantamweight Division,man
Zhang Weili,464 (63%),60 (8%),214 (29%),11 (46%),5 (21%),8 (33%),Active,"Hebei, China",,Muay Thai,34,64.00,115.00,"Aug. 4, 2018",63.00,36.00,Women's Strawweight Division,women
Yi Zha,108 (72%),28 (19%),13 (9%),6 (26%),6 (26%),11 (48%),Active,"Aba Sichuan, China",,Striker,26,67.00,156.00,"Jun. 9, 2022",70.50,36.50,Featherweight Division,man
Rickson Zenidim,25 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Ponta Grossa, Brazil",,,24,,,"Mar. 13, 2024",,,Flyweight Division,man
Daniel Zellhuber,354 (88%),20 (5%),27 (7%),7 (47%),5 (33%),3 (20%),Active,"Mexico City, Mexico","Xtreme Couture - Las Vegas, NV",Freestyle,24,73.00,156.00,"Sep. 17, 2022",77.00,43.50,Lightweight Division,man
Manolo Zecchini,9 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,Italy,,,26,,163.00,"Sep. 2, 2023",,,Featherweight Division,man
Zach Zane,7 (54%),6 (46%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,MMA,33,70.00,146.00,"Mar. 12, 2024",,,Welterweight Division,man
Aiemann Zahabi,243 (93%),11 (4%),7 (3%),6 (60%),2 (20%),2 (20%),Active,"Laval, Canada",,MMA,36,68.00,135.50,"Feb. 20, 2017",68.50,38.00,Bantamweight Division,man
Sodiq Yusuff,491 (80%),72 (12%),49 (8%),6 (50%),6 (50%),0 (0%),Active,"Lagos, Nigeria",,MMA,30,69.00,145.50,"Dec. 2, 2018",71.00,40.00,Featherweight Division,man
Shane Young,347 (93%),26 (7%),0 (0%),6 (46%),3 (23%),4 (31%),Active,"Hawke&#039;s Bay, New Zealand",City Kickboxing,MMA,30,68.00,145.50,"Nov. 18, 2017",72.50,39.00,Featherweight Division,man
Sang Hoon Yoo,56 (75%),19 (25%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Gangwon-do Taebaek, South Korea",,,33,,171.00,"Mar. 13, 2024",,,Welterweight Division,man
Ashley Yoder,423 (75%),48 (9%),93 (16%),0 (0%),4 (50%),4 (50%),Active,"Indianapolis, United States",Team Quest,Jiu-Jitsu,35,67.00,116.00,"Dec. 10, 2016",69.50,37.00,Women's Strawweight Division,women
Adrian Yanez,292 (94%),6 (2%),11 (4%),10 (63%),4 (25%),2 (13%),Active,"Galveston, United States",Metro Fight Club,Boxer,29,67.00,135.50,"Oct. 31, 2020",70.00,38.00,Bantamweight Division,man
