,link
0,https://www.ufc.com/athlete/nariman-abbassov
1,https://www.ufc.com/athlete/hamdy-abdelwahab
2,https://www.ufc.com/athlete/israel-adesanya
3,https://www.ufc.com/athlete/mariya-agapova
4,https://www.ufc.com/athlete/fabio-agu
5,https://www.ufc.com/athlete/jesus-aguilar
6,https://www.ufc.com/athlete/nick-aguirre
7,https://www.ufc.com/athlete/abdul-kareem-al-selwady
8,https://www.ufc.com/athlete/herdem-alacabek
9,https://www.ufc.com/athlete/heili-alateng
10,https://www.ufc.com/athlete/amir-albazi
11,https://www.ufc.com/athlete/irene-aldana
12,https://www.ufc.com/athlete/dzhonatan-martinez-0
13,https://www.ufc.com/athlete/jj-aldrich
14,https://www.ufc.com/athlete/irina-alekseeva
15,https://www.ufc.com/athlete/talita-alencar
16,https://www.ufc.com/athlete/lucas-alexander
17,https://www.ufc.com/athlete/marcio-alexandre
18,https://www.ufc.com/athlete/bill-algeo
19,https://www.ufc.com/athlete/abdul-razak-alhassan
20,https://www.ufc.com/athlete/nurullo-aliev
21,https://www.ufc.com/athlete/ikram-aliskerov
22,https://www.ufc.com/athlete/leon-aliu
23,https://www.ufc.com/athlete/brendan-allen
24,https://www.ufc.com/athlete/arnold-allen
25,https://www.ufc.com/athlete/assu-almabayev
26,https://www.ufc.com/athlete/bekzat-almakhan
27,https://www.ufc.com/athlete/estefani-almeida
28,https://www.ufc.com/athlete/cesar-almeida
29,https://www.ufc.com/athlete/kori-makkenna-11
30,https://www.ufc.com/athlete/kori-makkenna-10
31,https://www.ufc.com/athlete/kori-makkenna-4
32,https://www.ufc.com/athlete/patricia-alujas
33,https://www.ufc.com/athlete/jaime-alvarez
34,https://www.ufc.com/athlete/joel-alvarez
35,https://www.ufc.com/athlete/warlley-alves
36,https://www.ufc.com/athlete/rayanne-amanda
37,https://www.ufc.com/athlete/hyder-amil
38,https://www.ufc.com/athlete/jaqueline-amorim
39,https://www.ufc.com/athlete/eryk-anders
40,https://www.ufc.com/athlete/jessica-andrade
41,https://www.ufc.com/athlete/juan-andres-luna
42,https://www.ufc.com/athlete/julius-anglickas
43,https://www.ufc.com/athlete/meyson-dzhons-0
44,https://www.ufc.com/athlete/magomed-ankalaev
45,https://www.ufc.com/athlete/aoriqileng
46,https://www.ufc.com/athlete/josh-appelt
47,https://www.ufc.com/athlete/viviane-araujo
48,https://www.ufc.com/athlete/julio-arce
49,https://www.ufc.com/athlete/daniel-argueta
50,https://www.ufc.com/athlete/rheza-arianto
51,https://www.ufc.com/athlete/andrei-arlovski
52,https://www.ufc.com/athlete/garrett-armfield
53,https://www.ufc.com/athlete/eli-aronov
54,https://www.ufc.com/athlete/yanal-ashmouz
55,https://www.ufc.com/athlete/khusein-askhabov
56,https://www.ufc.com/athlete/ibo-aslan
57,https://www.ufc.com/athlete/tom-aspinall
58,https://www.ufc.com/athlete/jose-augusto
59,https://www.ufc.com/athlete/julia-avila
60,https://www.ufc.com/athlete/ottman-azaitar
61,https://www.ufc.com/athlete/abu-azaitar
62,https://www.ufc.com/athlete/abdul-azeem-badakhshi
63,https://www.ufc.com/athlete/miguel-baeza
64,https://www.ufc.com/athlete/melsik-baghdasaryan
65,https://www.ufc.com/athlete/ignacio-bahamondes
66,https://www.ufc.com/athlete/shauna-bannon
67,https://www.ufc.com/athlete/maycee-barber
68,https://www.ufc.com/athlete/bryan-barberena
69,https://www.ufc.com/athlete/edson-barboza
70,https://www.ufc.com/athlete/raoni-barcelos
71,https://www.ufc.com/athlete/lyudovit-klayn-1
72,https://www.ufc.com/athlete/danny-barlow
73,https://www.ufc.com/athlete/james-barnes
74,https://www.ufc.com/athlete/lyudovit-klayn-5
75,https://www.ufc.com/athlete/chris-barnett
76,https://www.ufc.com/athlete/marc-andre-barriault
77,https://www.ufc.com/athlete/trevin-dzhayls-4
78,https://www.ufc.com/athlete/farid-basharat
79,https://www.ufc.com/athlete/bahatebole-batebolati
80,https://www.ufc.com/athlete/cameron-bates
81,https://www.ufc.com/athlete/shavkat-rakhmonov-0
82,https://www.ufc.com/athlete/mario-bautista
83,https://www.ufc.com/athlete/donavan-beard
84,https://www.ufc.com/athlete/rolando-bedoya
85,https://www.ufc.com/athlete/allan-begosso
86,https://www.ufc.com/athlete/diana-belbita
87,https://www.ufc.com/athlete/yousri-belgaroui
88,https://www.ufc.com/athlete/cody-belisle
89,https://www.ufc.com/athlete/rodolfo-bellato
90,https://www.ufc.com/athlete/gabriel-benitez
91,https://www.ufc.com/athlete/khadzhimurat-bestaev
92,https://www.ufc.com/athlete/blake-bilder
93,https://www.ufc.com/athlete/shon-bredi-0
94,https://www.ufc.com/athlete/simon-biyong
95,https://www.ufc.com/athlete/jan-blachowicz
96,https://www.ufc.com/athlete/sherrard-blackledge
97,https://www.ufc.com/athlete/damon-blackshear
98,https://www.ufc.com/athlete/erin-blanchfield
99,https://www.ufc.com/athlete/curtis-blaydes
100,https://www.ufc.com/athlete/tereza-bleda
101,https://www.ufc.com/athlete/dashawn-boatwright
102,https://www.ufc.com/athlete/viktoriya-leonardo-0
103,https://www.ufc.com/athlete/gaston-bolanos
104,https://www.ufc.com/athlete/denys-bondar
105,https://www.ufc.com/athlete/ismael-bonfim
106,https://www.ufc.com/athlete/gabriel-bonfim
107,https://www.ufc.com/athlete/michael-bonnette
108,https://www.ufc.com/athlete/branden-bordeaux
109,https://www.ufc.com/athlete/kevin-borjas
110,https://www.ufc.com/athlete/mario-souza-3
111,https://www.ufc.com/athlete/zach-borrego
112,https://www.ufc.com/athlete/viacheslav-borshchev
113,https://www.ufc.com/athlete/tanner-boser
114,https://www.ufc.com/athlete/anvar-boynazarov
115,https://www.ufc.com/athlete/sean-brady
116,https://www.ufc.com/athlete/ramiz-brahimaj
117,https://www.ufc.com/athlete/bruna-brasil
118,https://www.ufc.com/athlete/aleks-oliveyra-0
119,https://www.ufc.com/athlete/elves-brener
120,https://www.ufc.com/athlete/marcos-brigagao
121,https://www.ufc.com/athlete/kaik-brito
122,https://www.ufc.com/athlete/kori-makkenna-3
123,https://www.ufc.com/athlete/matt-brown
124,https://www.ufc.com/athlete/tj-brown
125,https://www.ufc.com/athlete/randy-brown
126,https://www.ufc.com/athlete/travis-browne
127,https://www.ufc.com/athlete/stephanie-bruna
128,https://www.ufc.com/athlete/dzhonatan-pirs-1
129,https://www.ufc.com/athlete/robert-bryczek
130,https://www.ufc.com/athlete/kori-makkenna-5
131,https://www.ufc.com/athlete/joaquin-buckley
132,https://www.ufc.com/athlete/mariya-agapova-2
133,https://www.ufc.com/athlete/modestas-bukauskas
134,https://www.ufc.com/athlete/felipe-bunes
135,https://www.ufc.com/athlete/dzhastin-byorlinson
136,https://www.ufc.com/athlete/nate-burnard
137,https://www.ufc.com/athlete/herbert-burns
138,https://www.ufc.com/athlete/gilbert-burns
139,https://www.ufc.com/athlete/jesse-butler
140,https://www.ufc.com/athlete/jp-buys
141,https://www.ufc.com/athlete/dennis-buzukja
142,https://www.ufc.com/athlete/alex-caceres
143,https://www.ufc.com/athlete/priscila-cachoeira
144,https://www.ufc.com/athlete/ricky-calatayud
145,https://www.ufc.com/athlete/cynthia-calvillo
146,https://www.ufc.com/athlete/charlie-campbell
147,https://www.ufc.com/athlete/aleksa-camur
148,https://www.ufc.com/athlete/carlos-candelario
149,https://www.ufc.com/athlete/jared-cannonier
150,https://www.ufc.com/athlete/ariane-carnelossi
151,https://www.ufc.com/athlete/ruana-karorina
152,https://www.ufc.com/athlete/clayton-carpenter
153,https://www.ufc.com/athlete/jack-cartwright
154,https://www.ufc.com/athlete/cortney-casey
155,https://www.ufc.com/athlete/john-castaneda
156,https://www.ufc.com/athlete/jacqueline-cavalcanti
157,https://www.ufc.com/athlete/henri-sefuto
158,https://www.ufc.com/athlete/vinicius-cenci
159,https://www.ufc.com/athlete/katlyn-chookagian
160,https://www.ufc.com/athlete/edgar-chairez
161,https://www.ufc.com/athlete/chelsea-chandler
162,https://www.ufc.com/athlete/michael-chandler
163,https://www.ufc.com/athlete/morgan-charriere
164,https://www.ufc.com/athlete/macy-chiasson
165,https://www.ufc.com/athlete/michael-chiesa
166,https://www.ufc.com/athlete/giga-chikadze
167,https://www.ufc.com/athlete/khamzat-chimaev
168,https://www.ufc.com/athlete/seung-woo-choi
169,https://www.ufc.com/athlete/dooho-choi
170,https://www.ufc.com/athlete/seungguk-choi
171,https://www.ufc.com/athlete/devin-clark
172,https://www.ufc.com/athlete/mark-climaco
173,https://www.ufc.com/athlete/coltin-cole-0
174,https://www.ufc.com/athlete/chandler-cole
175,https://www.ufc.com/athlete/jake-collier
176,https://www.ufc.com/athlete/marcos-conrado-junior
177,https://www.ufc.com/athlete/michael-cora
178,https://www.ufc.com/athlete/cory-corbin
179,https://www.ufc.com/athlete/nora-cornolle
180,https://www.ufc.com/athlete/jonathan-correa
181,https://www.ufc.com/athlete/waldo-cortes-acosta
182,https://www.ufc.com/athlete/mariya-agapova-4
183,https://www.ufc.com/athlete/tracy-cortez
184,https://www.ufc.com/athlete/davi-costa
185,https://www.ufc.com/athlete/alessandro-costa
186,https://www.ufc.com/athlete/melquizael-costa
187,https://www.ufc.com/athlete/paulo-costa
188,https://www.ufc.com/athlete/oscar-cota
189,https://www.ufc.com/athlete/colby-covington
190,https://www.ufc.com/athlete/hailey-cowan
