R_fighter,B_fighter,Winner name,weight_class,height_dif,reach_dif,age_dif,win_dif,loss_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif
Thiago Santos,Johnny Walker,Thiago Santos,Light Heavyweight,10.159999999999997,15.240000000000007,-8,-8,-6,-0.5300000000000002,0.6,-0.37
Alex Oliveira,Niko Price,Niko Price,Welterweight,2.539999999999992,0.0,-1,-5,-3,2.19,0.3,-1.48
Misha Cirkunov,Krzysztof Jotko,Krzysztof Jotko,Middleweight,-5.079999999999984,0.0,-2,3,1,-0.8500000000000001,-1.6,-3.3300000000000005
Alexander Hernandez,Mike Breeden,Alexander Hernandez,Lightweight,2.5400000000000205,-5.079999999999984,3,-4,-2,0.25,0.0,-1.57
Joe Solecki,Jared Gordon,Jared Gordon,Lightweight,0.0,-5.0800000000000125,5,1,3,2.58,-0.6,-0.31
Antonina Shevchenko,Casey O'Neill,Casey O'Neill,Women's Flyweight,-5.079999999999984,5.079999999999984,-13,-2,-3,1.5900000000000003,0.8999999999999999,3.3200000000000003
Bethe Correia,Karol Rosa,Karol Rosa,Women's Bantamweight,0.0,7.620000000000003,-12,-2,-5,3.51,0.0,1.11
Devonte Smith,Jamie Mullarkey,Jamie Mullarkey,Lightweight,7.620000000000003,-5.079999999999984,-1,-3,1,-2.07,-0.0999999999999999,2.97
Douglas Silva de Andrade,Gaetano Pirrello,Douglas Silva de Andrade,Bantamweight,0.0,-7.620000000000003,-7,-4,-3,-2.8,0.0,-0.69
Stephanie Egger,Shanna Young,Stephanie Egger,Women's Bantamweight,2.539999999999992,-7.620000000000003,-3,0,1,1.3,1.0,-2.01
Alejandro Perez,Johnny Eduardo,Alejandro Perez,Bantamweight,2.539999999999992,15.240000000000007,11,-4,1,-0.5,0.0,-0.39
Alexander Volkanovski,Brian Ortega,Alexander Volkanovski,Featherweight,5.079999999999984,-5.0800000000000125,-2,-2,1,-2.27,0.8999999999999999,-0.9
Valentina Shevchenko,Lauren Murphy,Valentina Shevchenko,Women's Flyweight,0.0,2.539999999999992,5,-3,2,0.3700000000000001,-0.1999999999999999,-1.59
Nick Diaz,Robbie Lawler,Robbie Lawler,Middleweight,-5.0800000000000125,-5.079999999999984,1,0,7,-1.98,-1.0,-0.62
Curtis Blaydes,Jairzinho Rozenstruik,Curtis Blaydes,Heavyweight,-5.079999999999984,-5.079999999999984,3,-3,-1,-0.6400000000000001,0.0,-6.27
Jessica Andrade,Cynthia Calvillo,Jessica Andrade,Women's Flyweight,7.620000000000003,5.0800000000000125,4,-6,-5,-2.0,0.7000000000000001,-1.13
Marlon Moraes,Merab Dvalishvili,Merab Dvalishvili,Bantamweight,0.0,2.539999999999992,-3,1,-2,0.92,-0.1,6.41
Dan Hooker,Nasrat Haqparast,Dan Hooker,Lightweight,-5.079999999999984,-7.620000000000003,-5,-5,-4,0.2400000000000002,-0.2,-0.75
Shamil Abdurakhimov,Chris Daukaus,Chris Daukaus,Heavyweight,0.0,0.0,-8,-2,-3,6.5,-0.2,-1.14
Roxanne Modafferi,Taila Santos,Taila Santos,Women's Flyweight,-2.539999999999992,-2.539999999999992,-11,-1,-7,0.5799999999999996,0.7000000000000001,1.3
Uros Medic,Jalin Turner,Jalin Turner,Lightweight,5.079999999999984,15.240000000000007,-2,2,2,-4.329999999999999,1.9,0.98
Cody Brundage,Nick Maximov,Nick Maximov,Middleweight,0.0,10.159999999999997,-4,1,-1,-1.0000000000000002,-0.9,2.14
Matthew Semelsberger,Martin Sano,Matthew Semelsberger,Welterweight,-5.0800000000000125,0.0,2,-2,-1,-2.16,-0.5,-0.98
Jonathan Pearce,Omar Morales,Jonathan Pearce,Featherweight,-2.539999999999992,5.0800000000000125,6,2,0,-3.39,-1.0,-6.57
Anthony Smith,Ryan Spann,Anthony Smith,Light Heavyweight,2.5400000000000205,7.620000000000003,-3,-6,-6,0.4000000000000003,0.8,1.12
Ion Cutelaba,Devin Clark,Ion Cutelaba,Light Heavyweight,-2.5400000000000205,0.0,4,2,0,-1.7800000000000002,0.1,-1.88
Ariane Lipski,Mandy Bohm,Ariane Lipski,Women's Flyweight,2.539999999999992,10.159999999999997,5,-2,-4,-0.9300000000000002,-0.4,-0.19
Arman Tsarukyan,Christos Giagos,Arman Tsarukyan,Lightweight,7.620000000000003,-2.539999999999992,7,2,3,-0.71,0.5,-0.0699999999999998
Nate Maness,Tony Gravely,Nate Maness,Bantamweight,-12.700000000000015,-7.620000000000003,-1,1,1,1.2699999999999996,0.0999999999999999,4.050000000000001
Joaquin Buckley,Antonio Arroyo,Joaquin Buckley,Middleweight,12.699999999999989,-7.619999999999976,5,0,0,-1.3400000000000003,0.2,0.3399999999999998
